Tip,test,,,Tilt,test,,,,,
253,253.07,0.07,,1384,1383.78,-0.22,,,,
2202,2201.74,-0.26,,967,966.99,-0.01,,,,
457,456.84,-0.16,,1785,1785.02,0.02,,,,
2133,2132.77,-0.23,,1190,1190.13,0.13,,,,
981,981.04,0.04,,1106,1106.21,0.21,,,,
1167,1166.63,-0.37,,894,893.86,-0.14,,,,
629,629.05,0.05,,1601,1600.68,-0.32,,,,
1198,1198.09,0.09,,1412,1411.96,-0.04,,,,
695,694.97,-0.03,,1600,1599.66,-0.34,,,,
25,25.12,0.12,,1288,1288.04,0.04,,,,
301,300.89,-0.11,,1182,1182.05,0.05,,,,
979,979.09,0.09,,1940,1940.26,0.26,,,,
1883,1882.64,-0.36,,645,645.18,0.18,,,,
